Percentile_Score,RawScore1,RawScore2,RawScore3,RawScore4
2.1782654,89.0,,,
2.1470588,,,,85.0
2.111397,,92.0,,
2.0981821,88.0,,,
2.0783848,,,87.0,
1.9852941,,,,84.0
1.9676101,,91.0,,
1.9380155,87.0,,,
1.8823529,,,,83.0
1.8779691,,,86.0,
1.7858573,86.0,,,
1.7814727,,,85.0,
1.7708491,,90.0,,
1.7647059,,,,82.0
1.6417074,85.0,,,
1.5967913,,89.0,,
1.5959026,,,84.0,
1.5661765,,,,81.0
1.5142518,,,83.0,
1.5135741,84.0,,,
1.4926471,,,,80.0
1.490843,,88.0,,
1.4177553,,,82.0,
1.4000303,,87.0,,
1.3970588,,,,79.0
1.3774325,83.0,,,
1.3167852,,86.0,,
1.3161765,,,,78.0
1.2915677,,,81.0,
1.2733243,82.0,,,
1.2352941,,,,77.0
1.210837,,85.0,,
1.1852326,81.0,,,
1.1802257,,,80.0,
1.1397059,,,,76.0
1.0891327,80.0,,,
1.0821856,,84.0,,
1.0688836,,,79.0,
1.0367647,,,,75.0
1.0020784,,,78.0,
0.9762373,,83.0,,
0.9632353,,,,74.0
0.9369745,79.0,,,
0.9352732,,,77.0,
0.9049411,78.0,,,
0.9044118,,,,73.0
0.8854245,,82.0,,
0.8758907,,,76.0,
0.8529412,,,,72.0
0.8408745,77.0,,,
0.8165083,,,75.0,
0.7941176,,,,71.0
0.787044,,81.0,,
0.7645487,,,74.0,
0.7447746,76.0,,,
0.7426471,,,,70.0
0.7051663,,,73.0,
0.7047329,75.0,,,
0.6810958,,80.0,,
0.6691176,,,,69.0
0.6606295,,,72.0,
0.656683,74.0,,,
0.6323529,,,,68.0
0.6309382,,,71.0,
0.6102941,,,,67.0
0.608633,73.0,,,
0.6054185,,79.0,,
0.5882353,,,,66.0
0.5715558,,,70.0,
0.5675798,,78.0,,
0.560583,72.0,,,
0.527019,,,69.0,
0.5221735,,77.0,,
0.5205414,71.0,,,
0.5147059,,,,65.0
0.5047506,,,68.0,
0.488508,70.0,,,
0.4767671,,76.0,,
0.4705882,,,,64.0
0.4602138,,,67.0,
0.4484664,69.0,,,
0.4379454,,,66.0,
0.4338235,,,,63.0
0.4305226,,,65.0,
0.4237929,,75.0,,
0.4230998,,,64.0,
0.4191176,,,,62.0
0.4164331,68.0,,,
0.4082542,,,63.0,
0.393522,,74.0,,
0.3897059,,,,61.0
0.3785629,,,62.0,
0.3676471,,,,60.0
0.3562945,,,61.0,
0.3529412,,,,59.0
0.3523665,67.0,,,
0.3481156,,73.0,,
0.3235294,,,,58.0
0.3191805,,,60.0,
0.3178447,,72.0,,
0.3161765,,,,57.0
0.3123248,66.0,,,
0.3027092,,71.0,,
0.3014706,,,,56.0
0.2941176,,,,55.0
0.2820665,,,59.0,
0.2746437,,,58.0,
0.2724383,,70.0,,
0.2573529,,,,53.0
0.25,,,,52.0
0.2497351,,69.0,,
0.2482582,65.0,,,
0.2449525,,,57.0,
0.2426471,,,,51.0
0.2352941,,,,50.0
0.2301069,,,56.0,
0.2279412,,,,49.0
0.2270319,,67.0,,
0.2242332,64.0,,,
0.2226841,,,55.0,
0.2205882,,,,48.0
0.2078385,,,54.0,
0.2058824,,,,46.0
0.2043287,,66.0,,
0.2004157,,,53.0,
0.2002082,63.0,,,
0.1985294,,,,40.0
0.1921999,61.0,,,
0.1855701,,,50.0,
0.1838235,,,,34.0
0.1816255,,65.0,,
0.1764706,,,,30.0
0.1761832,60.0,,,
0.1740578,,64.0,,
0.1707245,,,47.0,
0.1691176,,,,29.0
0.1664901,,63.0,,
0.1633017,,,44.0,
0.1601666,58.0,,,
0.1589224,,62.0,,
0.1544118,,,,28.0
