Percentile_Score,RawScore1,RawScore2,RawScore3,RawScore4
100.0,150.0,150.0,150.0,150.0
88.9411765,,,,
87.9975783,,,,
87.9008314,,,,
87.2747658,,,,
87.0441176,,,,
86.0822447,,,,
85.7499622,,,,
85.1029412,,,,
84.9603588,,,,
84.1077791,,,,
83.3661268,,,,
83.3235294,,,,
82.4857852,,,,
82.0368171,,,,
81.2794118,,,,
81.0352656,,,,
80.1793866,,,,
80.0178147,,,,
79.0073529,,,,
78.5681853,,,,
77.6487547,,,,
77.5534442,,,,
76.8014706,,,,
75.8665052,,,,
75.5195962,,,,
75.1421478,,,,
74.2720588,,,,
73.2632057,,,,
73.1071853,,,,
72.4593577,,,,
71.8014706,,,,
70.8188285,,,,
70.5092043,,,,
69.8646592,,,,
69.0955882,,,,
67.9430907,,,,
67.7998812,,,,
67.0056859,,,,
66.5073529,,,,
65.0976237,,,,
64.6303444,,,,
64.5,,,,138.0
64.0986626,,,,
62.2327791,,,,
61.7602543,,,,
61.7132353,,,,
60.8632978,,,,
59.6199525,,,,
59.1342516,,,,
59.0735294,,,,
58.6289741,,,,
57.1110451,,,,
56.5441176,,,,
56.5082488,,,,
56.1303756,,,,
54.2681116,,,,
53.8319853,,,,
53.625,,,,134.0
53.5644014,,,,
51.506829,,,,
51.3814367,,,,
51.2794118,,,,
50.5600121,,,,
49.1389549,,,,
49.0735294,,,,
48.7226716,,,,
47.7221129,,,,
46.8453088,,,,
46.7867647,,,,
46.1039481,,,,
45.1490843,,,,
44.5442399,,,,
44.2647059,,,,
43.7254745,,,,
42.9468745,,,,
42.2877078,,,,
41.5392008,,,,
41.5294118,,,,
40.4646587,,,,
39.6911765,,,,
39.5486936,,,,
39.2488188,,,,
38.0429847,,,,
37.5074228,,,,
37.4705882,,,,
36.8783535,,,,
35.4094143,,,,
35.3770784,,,,
35.25,,,,126.0
35.1245295,,,,
33.5401847,,,,
33.4397268,,,,
33.25,,,,125.0
33.1224473,,,,
31.4817618,,,,
31.3836105,,,,
31.3529412,,,,
31.2324818,,,,
29.6397059,,,,
29.5501781,,,,
29.5292871,,,,
29.4145912,,,,
28.0367647,,,,
27.9320071,,,,
27.6978962,,,,
27.4525507,,,,
26.4411765,,,,
26.2989905,,,,
25.9043439,,,,
25.8749099,,,,
24.9705882,,,,
24.7773159,,,,
24.4135008,,,,
24.3212941,,,,
23.1071853,,,,
23.0808824,,,,
22.8772514,,,,
22.6315368,,,,
21.8088235,,,,
21.4370546,,,,
21.1593764,,,,
20.9898294,,,,
20.5294118,,,,
20.1009501,,,,
19.6004238,,,,
19.3455882,,,,
19.2440138,,,,
18.9355701,,,,
18.2189477,,,,
17.9779412,,,,
17.9355229,,,,
17.77019,,,,
17.20189,,,,
16.8230664,,,,
16.6938836,,,,
16.625,,,,114.0
16.2488989,,,,
15.6470588,,,,
15.5819585,,,,
15.5062352,,,,
15.2478578,,,,
14.7205882,,,,
14.64519,,,,
14.4770698,,,,
14.1347001,,,,
13.8138361,,,,
13.7647059,,,,
13.4327229,,,,
13.2217506,,,,
12.8488717,,,,
12.7058824,,,,
12.6002724,,,,
12.4289261,,,,
11.8319477,,,,
11.7132353,,,,
11.6200849,,,,
11.6164674,,,,
11.1397059,,,,
10.9857482,,,,
10.8294233,,,,
10.6430688,,,,
10.4411765,,,,
10.2434679,,,,
10.0272438,,,,
9.8662609,,,,
9.8161765,,,,
9.5754157,,,,
9.3617362,,,,
9.1872257,,,,
9.0661765,,,,
9.0483967,,,,
8.7851365,,,,
8.4001816,,,,
8.3358076,,,,
8.2205882,,,,
8.2085369,,,,
7.7796277,,,,
7.756829,,,,
7.7426471,,,,
7.6879955,,,,
7.2650219,,,,
7.1985294,,,,
7.1852732,,,,
7.1113959,,,,
6.7279412,,,,
6.7102138,,,,
6.6823066,,,,
6.5828462,,,,
6.2352941,,,,
6.2055396,,,,
6.1609264,,,,
6.1183631,,,,
5.7132353,,,,
5.7099383,,,,
5.7007126,,,,
5.6530952,,,,
5.3455882,,,,
5.1838959,,,,
5.158848,,,,
5.1493553,,,,
4.9779412,,,,
4.9190253,,,,
4.7951306,,,,
4.7489389,,,,
4.6911765,,,,
4.5784774,,,,
4.4686474,,,,
4.4388361,,,,
4.4044118,,,,
4.1698199,,,,
4.1270784,,,,
4.1242893,,,,
4.0661765,,,,
3.9192399,,,,
3.8014706,,,,
3.7799311,,,,
3.7611624,,,,
3.6176471,,,,
3.5852138,,,,
3.5556979,,,,
3.4887241,,,,
3.3602941,,,,
3.3476841,,,,
3.2754064,,,,
3.238989,,,,
3.1546912,,,,
3.1029412,,,,
3.0431649,,,,
3.0043893,,,,
2.9616983,,,,
2.899015,,,,
2.8161765,,,,
2.7697896,,,,
2.672209,,,,
2.6470588,,,,
2.6427485,,,,
2.5503254,,,,
2.4117647,,,,
2.4105069,,,,
2.3827197,,,,
2.3088235,,,,
2.3005903,,,,
2.2119952,,,,
2.1782654,,,,
2.1470588,,,,
2.111397,,,,
2.0981821,,,,
2.0783848,,,,
1.9852941,,,,
1.9676101,,,,
1.9380155,,,,
1.8823529,,,,
1.8779691,,,,
1.7858573,,,,
1.7814727,,,,
1.7708491,,,,
1.7647059,,,,
1.6417074,,,,
1.5967913,,,,
1.5959026,,,,
1.5661765,,,,
1.5142518,,,,
1.5135741,,,,
1.4926471,,,,
1.490843,,,,
1.4177553,,,,
1.4000303,,,,
1.3970588,,,,
1.3774325,,,,
1.3167852,,,,
1.3161765,,,,
1.2915677,,,,
1.2733243,,,,
1.2352941,,,,
1.210837,,,,
1.1852326,,,,
1.1802257,,,,
1.1397059,,,,
1.0891327,,,,
1.0821856,,,,
1.0688836,,,,
1.0367647,,,,
1.0020784,,,,
0.9762373,,,,
0.9632353,,,,
0.9369745,,,,
0.9352732,,,,
0.9049411,,,,
0.9044118,,,,
0.8854245,,,,
0.8758907,,,,
0.8529412,,,,
0.8408745,,,,
0.8165083,,,,
0.7941176,,,,
0.787044,,,,
0.7645487,,,,
0.7447746,,,,
0.7426471,,,,
0.7051663,,,,
0.7047329,,,,
0.6810958,,,,
0.6691176,,,,
0.6606295,,,,
0.656683,,,,
0.6323529,,,,
0.6309382,,,,
0.6102941,,,,
0.608633,,,,
0.6054185,,,,
0.5882353,,,,
0.5715558,,,,
0.5675798,,,,
0.560583,,,,
0.527019,,,,
0.5221735,,,,
0.5205414,,,,
0.5147059,,,,
0.5047506,,,,
0.488508,,,,
0.4767671,,,,
0.4705882,,,,
0.4602138,,,,
0.4484664,,,,
0.4379454,,,,
0.4338235,,,,
0.4305226,,,,
0.4237929,,,,
0.4230998,,,,
0.4191176,,,,
0.4164331,,,,
0.4082542,,,,
0.393522,,,,
0.3897059,,,,
0.3785629,,,,
0.3676471,,,,
0.3562945,,,,
0.3529412,,,,
0.3523665,,,,
0.3481156,,,,
0.3235294,,,,
0.3191805,,,,
0.3178447,,,,
0.3161765,,,,
0.3123248,,,,
0.3027092,,,,
0.3014706,,,,
0.2941176,,,,
0.2820665,,,,
0.2746437,,,,
0.2724383,,,,
0.2573529,,,,
0.25,,,,52.0
0.2497351,,,,
0.2482582,,,,
0.2449525,,,,
0.2426471,,,,
0.2352941,,,,
0.2301069,,,,
0.2279412,,,,
0.2270319,,,,
0.2242332,,,,
0.2226841,,,,
0.2205882,,,,
0.2078385,,,,
0.2058824,,,,
0.2043287,,,,
0.2004157,,,,
0.2002082,,,,
0.1985294,,,,
0.1921999,,,,
0.1855701,,,,
0.1838235,,,,
0.1816255,,,,
0.1764706,,,,
0.1761832,,,,
0.1740578,,,,
0.1707245,,,,
0.1691176,,,,
0.1664901,,,,
0.1633017,,,,
0.1601666,,,,
0.1589224,,,,
0.1544118,,,,
0.1521582,,,,
0.1513546,,,,
0.1484561,,,,
0.1441499,,,,
0.1410333,,,,
0.1397059,,,,
0.1362192,,,,
0.1361416,,,,
0.1336105,,,,
0.1281333,,,,
0.1261876,,,,
0.125,,,,23.0
0.1210837,,,,
0.1201249,,,,
0.1187648,,,,
0.1176471,,,,
0.113516,,,,
0.1121166,,,,
0.1102941,,,,
0.1059482,,,,
0.1041083,,,,
0.1039192,,,,
0.1029412,,,,
0.0983805,,,,
0.0964964,,,,
0.0960999,,,,
0.0955882,,,,
0.0908128,,,,
0.0890736,,,,
0.0882353,,,,
0.0880916,,,,
0.083245,,,,
0.0816508,,,,
0.0808824,,,,
0.0800833,,,,
0.0756773,,,,
0.074228,,,,
0.072075,,,,
0.0668052,,,,
0.0661765,,,,
0.0640666,,,,
0.0605418,,,,
0.0593824,,,,
0.0588235,,,,
0.0560583,,,,
0.0529741,,,,
0.0519596,,,,
0.0454064,,,,
0.0445368,,,,
0.0400416,,,,
0.0378387,,,,
0.037114,,,,
0.0320333,,,,
0.0302709,,,,
0.024025,,,,
0.0227032,,,,
0.0160167,,,,
0.0151355,,,,
0.0075677,,,,
